"The Day Ahead Auction prices for the following bidding zones is published without any change under the CC BY 4.0 (creativecommons.org/licenses/by/4.0) license with the source Bundesnetzagentur | SMARD.de: AT, BE, CH, CZ, DE-LU, DE-AT-LU, DK1, DK2, FR, HU, IT-NORTH, NL, NO2, PL, SE4, SI",,,,
Date (GMT+2),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (NL)
2025-07-01T02:00+02:00,466.75,7497.875,2506.375,89.1
2025-07-01T03:00+02:00,466.5,7512.25,2427.5,88.06
2025-07-01T04:00+02:00,467,7535.125,2044.625,90.01
2025-07-01T05:00+02:00,466.5,7629.25,1535.75,96.62
2025-07-01T06:00+02:00,466.5,7605.5,1039.5,114.97
2025-07-01T07:00+02:00,466.75,7107.25,750,120.1
2025-07-01T08:00+02:00,466.5,6735.375,583.125,114.28
2025-07-01T09:00+02:00,466.75,5909.5,388.75,91.7
2025-07-01T10:00+02:00,467,3547.5,283.25,90.11
2025-07-01T11:00+02:00,466.25,1499.625,278.625,73.79
2025-07-01T12:00+02:00,466,1220.75,282.75,40.3
2025-07-01T13:00+02:00,465.5,1064.5,286.25,42.47
2025-07-01T14:00+02:00,464.75,1140.5,311.25,47.54
2025-07-01T15:00+02:00,464.75,1694.5,333.5,78.15
2025-07-01T16:00+02:00,465,2781,412.75,90.8
2025-07-01T17:00+02:00,464.25,5048.625,446.375,102.25
2025-07-01T18:00+02:00,465,5903.5,501.5,152.44
2025-07-01T19:00+02:00,464.75,6419,658.5,320
2025-07-01T20:00+02:00,464.5,6720.625,1045.125,517.57
2025-07-01T21:00+02:00,464.75,6425,1713,470.16
2025-07-01T22:00+02:00,464.5,6765.5,1647,278.18
2025-07-01T23:00+02:00,464.5,6767.625,1023.875,161.35
2025-07-02T00:00+02:00,465.25,6673.75,535,119.29
2025-07-02T01:00+02:00,464.75,6430,371.75,102.7
2025-07-02T02:00+02:00,464.5,6393.875,219.875,92.54
2025-07-02T03:00+02:00,464,6282.625,297.125,92.08
2025-07-02T04:00+02:00,464.75,6292.5,411.25,95.77
2025-07-02T05:00+02:00,464,6190.25,455.5,104.86
2025-07-02T06:00+02:00,464.75,6752.125,324.125,123.69
2025-07-02T07:00+02:00,464.25,6496,147.5,112
2025-07-02T08:00+02:00,464.25,5600.375,172.125,104.52
2025-07-02T09:00+02:00,464.5,4497.625,269.875,92.49
2025-07-02T10:00+02:00,464.75,3441.5,322.75,81.06
2025-07-02T11:00+02:00,464,2552.25,301.5,72.78
2025-07-02T12:00+02:00,463.75,2196.75,374.5,25
2025-07-02T13:00+02:00,463.75,1953.75,976.25,32.59
2025-07-02T14:00+02:00,463.5,1941,729,46.58
2025-07-02T15:00+02:00,464,2264,955.25,71.51
2025-07-02T16:00+02:00,464,3536.5,878.25,79.61
2025-07-02T17:00+02:00,464.25,4410.25,1743.25,91.14
2025-07-02T18:00+02:00,464,5065.25,1624.25,131.9
2025-07-02T19:00+02:00,,,,231.19
2025-07-02T20:00+02:00,,,,316.12
2025-07-02T21:00+02:00,,,,213.59
2025-07-02T22:00+02:00,,,,140.8
2025-07-02T23:00+02:00,,,,108.59
2025-07-03T00:00+02:00,,,,83.92
2025-07-03T01:00+02:00,,,,80.91
2025-07-03T02:00+02:00,,,,79
2025-07-03T03:00+02:00,,,,78.93
2025-07-03T04:00+02:00,,,,80.88
2025-07-03T05:00+02:00,,,,86.45
2025-07-03T06:00+02:00,,,,106.96
2025-07-03T07:00+02:00,,,,112
2025-07-03T08:00+02:00,,,,104.9
2025-07-03T09:00+02:00,,,,90.45
2025-07-03T10:00+02:00,,,,75.06
2025-07-03T11:00+02:00,,,,57.35
2025-07-03T12:00+02:00,,,,42.16
2025-07-03T13:00+02:00,,,,34.12
2025-07-03T14:00+02:00,,,,7.21
2025-07-03T15:00+02:00,,,,16.38
2025-07-03T16:00+02:00,,,,55.68
2025-07-03T17:00+02:00,,,,80.99
2025-07-03T18:00+02:00,,,,95.74
2025-07-03T19:00+02:00,,,,108.71
2025-07-03T20:00+02:00,,,,154.16
2025-07-03T21:00+02:00,,,,179.22
2025-07-03T22:00+02:00,,,,146.43
2025-07-03T23:00+02:00,,,,130
